number_of_episode,reward
320,-116.726644420877
321,-109.090368420002
322,-110.57017339403
323,-112.693908459591
324,-111.443023386853
325,-112.995629882564
326,-115.350710072899
327,-113.401308571115
328,-111.047049076669
329,-116.502106863584
330,-114.033763479921
331,-114.128182455258
332,-115.2935594838
333,-103.910297912331
334,-109.800695620979
335,-110.89188788801
336,-116.167764611313
337,-110.513050315796
338,-110.489138535322
339,-113.140861771583
340,-110.357609340771
341,-109.724156628636
342,-106.99795919943
343,-106.821466433409
344,-112.233534094048
345,-108.996646080162
346,-106.294659595456
347,-108.417668718491
348,-104.422298028287
349,-106.12495861834
350,-111.769947617668
351,-115.540327842891
352,-104.958024216675
353,-114.728763370043
354,-106.071056830441
355,-100.488853443896
356,-105.55818273463
357,-107.349229412757
358,-105.109227453368
359,-106.503578459901
360,-105.010484294801
361,-100.287443478798
362,-106.635076079227
363,-99.3013957960722
364,-101.916969420821
365,-106.564122559705
366,-107.009242878504
367,-107.284908171612
368,-105.28703369214
369,-101.981279184056
370,-108.257373523831
371,-104.506743420745
372,-98.6232380916867
373,-106.499706037164
374,-100.163001059276
375,-104.411281413142
376,-106.723266946493
377,-99.9796243504424
378,-99.2204189200377
379,-99.9829966816182
380,-98.9143642912643
381,-95.18634710662
382,-103.232157116292
383,-103.557910197044
384,-97.6708502734875
385,-96.8278883020357
386,-93.660242844652
387,-100.354186749473
388,-100.621011530432
389,-96.6739905475213
390,-101.943409782363
391,-94.6323960242848
392,-96.3835764005327
393,-99.4526752013861
394,-95.2810074874729
395,-96.6120575992085
396,-101.669447768731
397,-93.9468861944027
398,-97.9371176490518
399,-94.8317861116707
400,-98.9235712052878
401,-95.5481375595583
402,-97.7103301033513
403,-106.111449455489
404,-90.9457856463211
405,-100.215203511389
406,-100.09023406869
407,-91.3450936809659
408,-92.231073448852
409,-95.5116069873576
410,-95.4832863827793
411,-96.2963904416802
412,-98.3274799603338
413,-97.5505230288351
414,-94.4950349903568
415,-91.0775300515533
416,-91.3749255568158
417,-93.5831032450736
418,-101.770115233617
419,-94.71202738719
420,-104.749304792978
421,-94.2755955989915
422,-94.9225417537683
423,-90.1249278773564
424,-95.7376873964647
425,-100.938445888446
426,-97.8822164729936
427,-89.7522707426869
428,-91.6395820497989
429,-98.7553381720758
430,-96.8155289370646
431,-91.6672544186992
432,-96.5048028036431
433,-87.7624506099869
434,-91.4836216348119
435,-96.5597515816327
436,-95.0019342225303
437,-86.9688612556291
438,-93.7442246516312
439,-93.58567821688
440,-89.4361482813174
441,-84.222612325354
442,-86.2810420587352
443,-89.1928443079301
444,-92.4747829134985
445,-94.7016206632632
446,-88.1303648569945
447,-89.4045244307334
448,-90.5032348214609
449,-86.7522877454118
450,-93.1034407955924
451,-89.4052717416326
452,-93.2554901177056
453,-89.3072304958103
454,-94.3920990231382
455,-93.4682384765088
456,-93.5916077062159
457,-86.2515608351278
458,-85.1719055231133
459,-87.4931723249589
460,-83.9835364374448
461,-88.7356651102158
462,-88.313638707238
463,-83.6982127415438
464,-89.5638591791491
465,-80.8480889989843
466,-96.3364011286572
467,-82.1936877065582
468,-90.3078094337562
469,-85.4524730845416
470,-86.1204771188901
471,-78.3766913450614
472,-89.0116819967423
473,-85.3654585837117
474,-83.8949729944337
475,-85.5838446668448
476,-84.6546060146119
477,-83.9448992085049
478,-86.1028790015084
479,-83.3471893063304
480,-83.8106096368141
481,-79.3352552818473
482,-91.071667161498
483,-87.66699809844
484,-81.9190837725359
485,-80.1945488174247
486,-83.5921261145473
487,-82.3809019949207
488,-84.4210801689274
489,-86.439857383285
490,-82.9428098786297
491,-83.5415763506305
492,-81.7198304077955
493,-85.4297463724079
494,-78.6419052836989
495,-77.4192177602432
496,-80.9600685515185
497,-81.3417537802516
498,-82.9928012744965
499,-78.061385499959
500,-79.8646861621235
501,-82.6615719478107
502,-79.1040898920485
503,-75.3444420246997
504,-76.6034973101982
505,-77.9247770613898
506,-78.3322292733804
507,-80.4165701918094
508,-73.6060755387131
509,-75.9964638292547
510,-81.9603559298786
511,-83.3655108612018
512,-80.8147746537713
513,-76.3666187086122
514,-69.3782768809315
515,-77.6829947975362
516,-79.6026823710075
517,-72.2201840894237
518,-74.9260603899841
519,-76.7941750530167
520,-78.0294089749578
521,-78.2962611830355
522,-78.242574418164
523,-79.3223461544391
524,-73.2745771900609
525,-74.421574172823
526,-76.7894602487693
527,-73.9874194966501
528,-71.6344082464625
529,-74.1827551521807
530,-78.5508339922671
531,-77.2272934470917
532,-79.4200218456549
533,-73.8508970522248
534,-76.251779214637
535,-80.6855991550989
536,-74.6197817876441
537,-75.9742144453728
538,-77.1885683122079
539,-77.1628518293119
540,-74.6168352261421
541,-75.8889192559983
542,-72.3275277579475
543,-75.6768493671565
544,-71.1343782334579
545,-74.7091918956052
546,-75.1136485370755
547,-70.5644266839774
548,-76.0777017120123
549,-78.1564002975505
550,-78.6584845928254
551,-71.6366137156204
552,-73.4224830033159
553,-72.0120231156527
554,-78.8102422381773
555,-78.3057053451787
556,-83.3562780452368
557,-75.9632438055457
558,-73.4278244296031
559,-75.3902219694472
560,-74.5142437873589
561,-69.5320528615912
562,-75.4841827478458
563,-73.7291456636193
564,-69.5245768283509
565,-74.2221305946453
566,-72.3814392458609
567,-69.4403576530331
568,-67.9540229538185
569,-76.3793151650182
570,-67.8386561697506
571,-73.4290590131504
572,-74.1920931097632
573,-73.4756514754193
574,-68.4082710270078
575,-73.1682475230512
576,-73.9294185770991
577,-71.6039207343563
578,-74.6370057430516
579,-76.6069552205508
580,-75.5852444604694
581,-75.839872754932
582,-74.7571825313693
583,-75.7880944398563
584,-70.9482599711956
585,-75.0010564739308
586,-72.6044322632178
587,-66.1123213568714
588,-71.628550286296
589,-68.4089962095954
590,-74.4887030117091
591,-72.9702017613343
592,-76.8335056868999
593,-73.4309952904051
594,-72.6260455101589
595,-71.8402651537283
596,-74.6941534986872
597,-74.1847087702265
598,-70.840112244334
599,-74.5177047712952
600,-71.0604193136893
601,-70.3947995773358
602,-68.9851244548921
603,-72.1089084089993
604,-67.5628783697585
605,-68.5984148770541
606,-73.4245601295829
607,-67.8076648876069
608,-66.4740717332122
609,-68.2082834460984
610,-67.0016579881341
611,-75.0548090470839
612,-71.6372160532031
613,-70.9275467793507
614,-68.9913257101252
615,-67.4487281675223
616,-69.786041134983
617,-68.9682510584484
618,-67.4686289781609
619,-70.4267138221601
620,-69.1536910083678
621,-65.6548659461148
622,-62.743145317416
623,-67.4789170195163
624,-67.4516979192053
625,-72.4728626041769
626,-67.5750911028031
627,-66.8812844609372
628,-68.0753221407566
629,-69.3435627868418
630,-67.4182149028823
631,-71.0874540062414
632,-68.8428164306537
633,-67.7411150775187
634,-68.1544570308556
635,-68.8047852775389
636,-63.8886324519727
637,-65.6306274347321
638,-64.8893262692876
639,-63.1773574868554
640,-65.9465385148604
641,-69.673270026784
642,-65.1288539092275
643,-64.5230533394121
644,-62.9459157158641
645,-65.569587412338
646,-67.5542731201668
647,-66.3665178854534
648,-66.7158930818005
649,-63.3058686393396
650,-64.1515344629308
651,-65.5501043096655
652,-61.0372136349012
653,-62.6443103897611
654,-64.573663258508
655,-66.3109693629948
656,-66.3996360592713
657,-65.8443965119101
658,-67.8912434221452
659,-64.8616623682539
660,-66.002698971713
661,-64.4507514629447
662,-58.4640218331975
663,-64.6875954894313
664,-63.2184389258483
665,-64.145324168231
666,-51.8461236415978
667,-56.5705087750091
668,-62.4765065212715
669,-57.8239297109443
670,-64.894873922378
671,-66.3157625700606
672,-60.7040257449234
673,-58.1433216150329
674,-61.9853454975429
675,-61.818023702272
676,-64.9601802148214
677,-60.7740273891117
678,-67.1365912335203
679,-63.8560722736206
680,-62.2714135431422
681,-61.5951393156377
682,-63.8021990739062
683,-65.360601510777
684,-60.0026843312431
685,-61.9488729941108
686,-60.4607984601926
687,-65.8325297598477
688,-61.0911118979167
689,-60.4878624118317
690,-63.8640718566938
691,-61.8606297934009
692,-63.9252249800963
693,-64.6468588321863
694,-58.3255642254089
695,-62.6282193959014
696,-59.5496343944764
697,-61.6671940157518
698,-60.330383629746
699,-59.7280307154339
700,-60.6736503010291
701,-61.2801943980093
702,-60.7859383609367
703,-54.9952828273081
704,-56.5135002132967
705,-56.5551598178349
706,-64.9709284803858
707,-55.5525694028346
708,-57.2895278068837
709,-61.562083496923
710,-65.269634103557
711,-56.7820234486509
712,-58.8857768303288
713,-55.1888526905348
714,-63.0247738888912
715,-55.6587915081734
716,-61.8851441666284
717,-62.3652699647609
718,-60.0667061560204
719,-56.4371349132808
720,-56.6107353189612
721,-57.6970004265928
722,-58.7545094439693
723,-54.3910924053143
724,-58.6859274196284
725,-55.2758488127876
726,-58.1973748281737
727,-59.0477927559682
728,-57.763418464564
729,-59.066427725203
730,-55.5840257666326
731,-57.2772834822985
732,-58.878327375444
733,-54.3387347213347
734,-58.0409782648319
735,-56.7837026694963
736,-54.6204936466095
737,-55.7720086612877
738,-59.4128731377491
739,-53.9324825748498
740,-55.3091170177662
741,-58.1121200251709
742,-58.0632349530125
743,-52.6347624821405
744,-55.1370774697886
745,-55.6726826485258
746,-52.71142246276
747,-50.3110956894728
748,-59.5199662121997
749,-57.7248353968873
750,-58.4496483854723
751,-54.7240452548211
752,-58.0625345220929
753,-54.8455487578788
754,-53.5295424058564
755,-51.5779908647662
756,-55.9844581996858
757,-52.7294005662188
758,-57.8453578391207
759,-52.6818375837451
760,-58.2595238969408
761,-55.7704557243331
762,-52.5424389118358
763,-57.4702216313975
764,-56.5301086911947
765,-52.445449596654
766,-54.2701192346953
767,-53.3713244948187
768,-52.8865017391675
769,-54.0377518869509
770,-56.3981756702475
771,-55.82674376665
772,-58.6576702434243
773,-51.6714043101458
774,-53.5932857244276
775,-54.5720851212659
776,-54.0639745622141
777,-49.9234075558804
778,-57.9420763538829
779,-53.164742985309
780,-53.4620709622646
781,-52.9000641005789
782,-58.1389103467819
783,-50.4206242230051
784,-51.7021077334083
785,-52.5608435021782
786,-51.2287926066677
787,-52.3001263707176
788,-51.3441050457784
789,-56.4509131188759
790,-52.371403684172
791,-52.5179715148645
792,-52.9932324927943
793,-51.8238116349531
794,-47.8928256161376
795,-47.3631029546949
796,-52.7590559355467
797,-54.5131756328894
798,-50.1934868138899
799,-50.764696187719
800,-56.3360749966167
801,-49.6584190694235
802,-49.9610864274332
803,-52.0112429349103
804,-51.2443782391407
805,-52.5632430049967
806,-56.2370111111184
807,-52.6263680749607
808,-48.6582860685144
809,-55.8142655473942
810,-52.4097162662733
811,-52.3550319348464
812,-51.2243963058734
813,-46.4020782857012
814,-52.6737593065374
815,-52.6122468312405
816,-48.4780743513603
817,-51.7836969510903
818,-52.0459122747821
819,-51.9711813432487
820,-53.2913426572581
821,-54.0207446550187
822,-51.452746427296
823,-51.4881625069714
824,-48.9166767496691
825,-52.6082355660924
826,-50.6742055448212
827,-50.466547587184
828,-53.4297516281536
829,-49.8511047002139
830,-55.6874053052024
831,-47.7753542236605
832,-53.4027906214235
833,-51.5858637313125
834,-53.7906141147504
835,-48.2897451771512
836,-49.9443729450686
837,-53.2870931483143
838,-48.9199867305098
839,-53.4683500493603
840,-48.0957691985433
841,-52.4755157972902
842,-53.0013768704049
843,-53.2819729542063
844,-50.6304172120556
845,-49.8322439055339
846,-52.6621295562936
847,-47.6612891527294
848,-50.4891282357206
849,-49.8822346598094
850,-50.5079823319957
851,-50.7903924804811
852,-49.5545669517389
853,-51.2617010805399
854,-51.6935009990289
855,-48.6052402389693
856,-45.4637598311013
857,-50.2737894238443
858,-52.1510547142449
859,-48.4442796079693
860,-50.2383774721802
861,-56.216570315205
862,-52.9923016124616
863,-47.057549050624
864,-48.3962900009194
865,-52.8527554671439
866,-50.718246386496
867,-50.456204504149
868,-47.8406991522754
869,-52.6017710443444
870,-51.0956137641524
871,-46.5938091767028
872,-52.3225894689634
873,-47.615279981441
874,-51.0436023920195
875,-52.5902984916851
876,-52.6015167281265
877,-46.8194339261327
878,-45.0338599856732
879,-44.1049530979318
880,-49.5123454146107
881,-47.5027390467016
882,-50.0374949859698
883,-49.2334425441624
884,-46.707810163484
885,-51.7848063945114
886,-51.503719777605
887,-50.6385408598832
888,-49.3096817280692
889,-51.0212652394254
890,-46.902680397718
891,-48.0999899755553
892,-42.8957010595146
893,-44.8714163172221
894,-48.1567617756218
895,-49.4958407163569
896,-47.706147834116
897,-46.8586226076695
898,-49.2741546625438
899,-46.3420447625346
900,-47.7186930428363
901,-46.5285626662815
902,-47.3452359007403
903,-47.6221671832103
904,-40.6279636106438
905,-44.2794581945509
906,-47.8443513357271
907,-43.8960532015248
908,-46.6912010140193
909,-43.9069565990674
910,-45.1488016805413
911,-46.7098825739048
912,-49.3319586349734
913,-47.9775497987019
914,-45.5058452840753
915,-44.9830797735266
916,-46.7505769873589
917,-48.4344858017024
918,-43.6387681653943
919,-43.8992521391245
920,-45.3726564609272
921,-48.3225659956261
922,-47.3993715141077
923,-50.1511606009521
924,-42.5864764505233
925,-49.020962740005
926,-44.8538322798463
927,-45.9829936775219
928,-44.9924418066714
929,-44.2126040763742
930,-42.5409977043759
931,-46.2801569344568
932,-47.0323751210274
933,-46.9390396875226
934,-43.1782114999217
935,-41.9165566829763
936,-44.6336602708123
937,-44.3344232877658
938,-43.9313750247878
939,-47.1959090975146
940,-40.9496962040945
941,-45.3873904927704
942,-45.8697246763318
943,-44.6475115219611
944,-47.1848115899038
945,-48.8295505412676
946,-43.781813528494
947,-45.9269456874384
948,-43.6438021259216
949,-45.0918390124239
950,-45.4600659254347
951,-45.5662359400628
952,-45.8139716262651
953,-42.3925504236469
954,-45.6263985008532
955,-43.3542568949087
956,-44.3575652297686
957,-42.1051794031267
958,-42.4835385248564
959,-42.4292736290592
960,-45.2446133294673
961,-47.0694208419706
962,-44.7921472028382
963,-42.892203404164
964,-48.010878084069
965,-43.6397681175158
966,-43.2465476038284
967,-44.7337098001059
968,-41.6991572356254
969,-45.4482268398789
970,-45.5322232480149
971,-41.9044347771496
972,-43.2416305794298
973,-41.7793033003738
974,-43.343656425521
975,-43.6512998242631
976,-41.9645131069814
977,-43.0225077093478
978,-42.427290150103
979,-43.3663864851627
980,-46.2492336477047
981,-37.5711921097934
982,-45.6259193160863
983,-38.9173327740161
984,-42.7285610330202
985,-43.2801573555016
986,-41.7516520494419
987,-39.0563533296477
988,-40.3704088415824
989,-39.550767027912
990,-40.6968119852216
991,-40.5640159579387
992,-37.4240499801027
993,-44.5351102951514
994,-42.0277353532583
995,-44.020469053695
996,-42.8270919462752
997,-40.4205190766913
998,-35.1409804274851
999,-43.8879441093596
1000,-41.2949088222806
1001,-39.651813079713
1002,-43.1535667196954
1003,-39.9832390488724
1004,-42.2915141044087
1005,-40.1110882660001
1006,-38.7864830422192
1007,-37.5861680053376
1008,-41.4742041301362
1009,-40.3210704120512
1010,-39.1506873704203
1011,-42.2014441571077
1012,-38.697713343307
1013,-44.3920247026625
1014,-40.5551350372395
1015,-42.7826136358987
1016,-43.2209551109962
1017,-45.0067023274537
1018,-39.775250532085
1019,-41.8237091868875
1020,-39.634475253131
1021,-43.6079734649319
1022,-42.2900935690622
1023,-40.5038246602404
1024,-38.790016258499
1025,-42.2451502461809
1026,-40.068978509577
1027,-38.8135638588043
1028,-39.7640485186776
1029,-42.3035296203316
1030,-43.5147447832133
1031,-35.8925188852164
1032,-40.634819069024
1033,-36.2450752887507
1034,-40.0478657461476
1035,-40.0635301844803
1036,-40.9460830477467
1037,-40.745461769944
1038,-39.8204440493045
1039,-38.8749408826618
1040,-38.0062829961257
1041,-39.6831092790588
1042,-40.6829827185223
1043,-40.6313482808482
1044,-38.3190359052655
1045,-40.2872590029294
1046,-40.7330767612464
1047,-41.8983331198298
1048,-41.4725321934679
1049,-41.711995830613
1050,-41.9505418379044
1051,-44.6174039397103
1052,-38.9018315038796
1053,-40.5167645590522
1054,-39.3044907448875
1055,-42.7917699577005
1056,-35.9356418383033
1057,-38.482851832666
1058,-42.2958038834465
1059,-40.6999236499112
1060,-36.1397524250735
1061,-36.7974459613788
1062,-39.9043702635619
1063,-38.1266821267503
1064,-42.1316914672275
1065,-38.4253935003303
1066,-35.8535770535785
1067,-38.9855233007588
1068,-38.6797900194212
1069,-39.4639754505455
1070,-40.1103165803788
1071,-41.1391538050415
1072,-40.0140142890264
1073,-42.6828316148737
1074,-36.9226208981899
1075,-40.33921541104
1076,-41.9445658470643
1077,-37.111949668111
1078,-36.7054598970092
1079,-36.1944381598391
1080,-35.9865532491713
1081,-40.151675475921
1082,-39.437286453801
1083,-37.3914514845051
1084,-36.0261883377978
1085,-41.9600147834039
1086,-37.1010145292524
1087,-40.7072689032348
1088,-40.9215200672001
1089,-38.8089165836907
1090,-37.9533674616483
1091,-38.0872398918873
1092,-40.9566106518993
1093,-36.9218298090555
1094,-39.7122893630373
1095,-40.7162368572392
1096,-37.8928051950473
1097,-34.7576696793073
1098,-37.8000507511845
1099,-36.991584140657
1100,-36.8758059006672
1101,-37.9302450577424
1102,-39.9127352123519
1103,-38.5303962590449
1104,-38.2749085346569
1105,-39.8020389281899
1106,-37.7012360674823
1107,-38.1173157541028
1108,-42.4973238981889
1109,-38.821054576524
1110,-36.4007171041586
1111,-43.2040424310201
1112,-37.2107872772215
1113,-38.0327151470532
1114,-38.0396520539249
1115,-37.0257565681808
1116,-35.8855658344039
1117,-38.7718822409909
1118,-36.7268167274413
1119,-37.2125873149688
1120,-39.3339154235978
1121,-35.478303933995
1122,-35.0686906867484
1123,-37.0202082325468
1124,-36.4885266594818
1125,-36.4174835779457
1126,-36.6711774731865
1127,-36.3202691659529
1128,-35.6751150462547
1129,-36.990577151854
1130,-36.5894724350537
1131,-36.4711646334065
1132,-40.1811283513438
1133,-33.3368738351539
1134,-35.2460059860195
1135,-41.0373350401937
1136,-36.7378016373969
1137,-39.8436366316434
1138,-37.6103149618764
1139,-34.8111329153569
1140,-34.6385344290252
1141,-36.9272173201775
1142,-38.6452814926027
1143,-37.4399189668906
1144,-36.4853560579616
1145,-34.1698852657363
1146,-36.3978628541419
1147,-37.8175506110893
1148,-36.567877403481
1149,-36.4463897602758
1150,-35.9249957324563
1151,-38.2872015221401
1152,-36.4349479292252
1153,-36.6113315328816
1154,-33.2398512434732
1155,-37.508512021838
1156,-36.3431726063276
1157,-33.8162123054277
1158,-39.4528768565187
1159,-35.2751549906661
1160,-35.3960146042568
1161,-40.6127846166479
1162,-37.1468683131981
1163,-35.0329371624778
1164,-39.3066979592759
1165,-36.0968903070097
1166,-36.8364383328891
1167,-36.250950114784
1168,-39.8983516728167
1169,-32.0955620767841
1170,-33.408665712199
1171,-34.0526875360528
1172,-34.8033446291558
1173,-38.3176219956179
1174,-35.0701028966098
1175,-37.2308368407087
1176,-39.6720939634086
1177,-36.8857930053606
1178,-36.1330577773597
1179,-35.0830090397793
1180,-35.99835202535
1181,-37.2579731219227
1182,-31.6298774141363
1183,-36.5401884597622
1184,-37.7931283948486
1185,-33.9099989477468
1186,-35.2826318748722
1187,-38.023224464162
1188,-38.7202161831251
1189,-35.2611562755465
1190,-35.3522393669822
1191,-37.4718032399054
1192,-31.4080815765818
1193,-36.2240322690656
1194,-36.016349179224
1195,-32.0746079919377
1196,-36.2776776023248
1197,-34.3809626727904
1198,-36.3405783020222
1199,-36.6424948272626
1200,-33.7615505581293
1201,-35.9381886940554
1202,-33.0127240788827
1203,-37.2105442100622
1204,-36.3653323473791
1205,-39.0443452862122
1206,-34.5235204359625
1207,-36.1329648058627
1208,-33.7648226585151
1209,-35.6269086385527
1210,-34.0866374723889
1211,-36.5012075036532
1212,-34.6802998704936
1213,-34.6964411145802
1214,-34.159731330515
1215,-33.6598143615146
1216,-35.0558048381313
1217,-34.4593242258772
1218,-36.6736563166705
1219,-38.9840718629097
1220,-31.340468694787
1221,-34.9526855978675
1222,-33.9299579261891
1223,-35.3190026561553
1224,-37.2371808417199
1225,-34.5555414583924
1226,-35.5549456429898
1227,-36.1373828430814
1228,-35.1994056383142
1229,-37.5508278896448
1230,-34.8367918464009
1231,-36.2736057268517
1232,-33.7580800070864
1233,-36.9580810684653
1234,-35.2218059219895
1235,-37.3411304936803
1236,-37.6284279402464
1237,-35.5851490238367
1238,-35.3903120190883
1239,-34.5934701671552
1240,-36.3326872257675
1241,-33.9351340732437
1242,-32.0566550081914
1243,-33.0104697741559
1244,-37.9337907362418
1245,-35.2038927430228
1246,-36.1632420569409
1247,-35.7430224462855
1248,-32.6631482630616
1249,-35.5667583113172
1250,-35.0683160106472
1251,-34.6606332470345
1252,-34.161516613385
1253,-34.4971579925163
1254,-38.8113237877673
1255,-35.1069015688633
1256,-34.6312937973494
1257,-37.6884111673416
1258,-34.9988457966434
1259,-37.7135585250365
1260,-36.1718502074544
1261,-34.872085178253
1262,-37.8367650745179
1263,-34.1910551569996
1264,-33.2855489393722
1265,-32.4197400539215
1266,-34.8680176566178
1267,-36.222442299968
1268,-37.754113762846
1269,-34.1409797209253
1270,-32.9103067884018
1271,-36.688417898456
1272,-32.1091992148752
1273,-36.6064425128143
1274,-34.2019634796791
1275,-32.6693757796265
1276,-31.2907254392905
1277,-33.1805936742988
1278,-32.40665961639
1279,-35.0615532208871
1280,-32.7370330413071
1281,-36.2650053802711
1282,-32.1691303925525
1283,-33.7302787397654
1284,-32.0055501530045
1285,-34.0846638878799
1286,-33.6278563903195
1287,-33.7873487398506
